Position,Track Name,Artist,Streams,Date,Genre
1,thank u;;next,Ariana Grande,3978028,1/1/2019,Pop
2,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,3883836,1/1/2019,Rap
3,Taki Taki (with Selena Gomez;;Ozuna & Cardi B),DJ Snake,3351784,1/1/2019,Pop
4,Wow.,Post Malone,3195966,1/1/2019,Rap
5,MIA (feat. Drake),Bad Bunny,2777884,1/1/2019,Rap
6,SICKO MODE,Travis Scott,2624453,1/1/2019,Rap
7,Without Me,Halsey,2618489,1/1/2019,Pop
8,Sweet but Psycho,Ava Max,2432084,1/1/2019,Pop
9,Calma - Remix,Pedro CapÃ³,2385494,1/1/2019,Pop
10,Happier,Marshmello,2385450,1/1/2019,Pop
11,Adan y Eva,Paulo Londra,2191752,1/1/2019,Rap
12,ZEZE (feat. Travis Scott & Offset),Kodak Black,2160788,1/1/2019,Rap
13,Going Bad (feat. Drake),Meek Mill,2020725,1/1/2019,Pop
14,Mo Bamba,Sheck Wes,1904157,1/1/2019,Rap
15,High Hopes,Panic! At The Disco,1818904,1/1/2019,Pop
16,Eastside (with Halsey & Khalid),benny blanco,1766878,1/1/2019,Pop
17,Girls Like You (feat. Cardi B),Maroon 5,1748652,1/1/2019,Pop
18,Drip Too Hard (Lil Baby & Gunna),Lil Baby,1702113,1/1/2019,Rap
19,I Like It,Cardi B,1649370,1/1/2019,Pop
20,Better Now,Post Malone,1610618,1/1/2019,Rap
21,Lucid Dreams,Juice WRLD,1599587,1/1/2019,Rap
22,Bohemian Rhapsody - Remastered 2011,Queen,1575089,1/1/2019,Rock
23,Shallow,Lady Gaga,1569388,1/1/2019,Pop
24,God's Plan,Drake,1552552,1/1/2019,Pop
25,rockstar (feat. 21 Savage),Post Malone,1532954,1/1/2019,Rap
26,SAD!,XXXTENTACION,1520786,1/1/2019,Hip Hop
27,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,1480647,1/1/2019,Hip Hop
28,In My Mind,Dynoro,1434955,1/1/2019,Pop
29,imagine,Ariana Grande,1415040,1/1/2019,Pop
30,Ella Quiere Beber - Remix,Anuel AA,1401784,1/1/2019,Rap
31,Better,Khalid,1355797,1/1/2019,Pop
32,Promises (with Sam Smith),Calvin Harris,1354412,1/1/2019,Pop
33,when the party's over,Billie Eilish,1354146,1/1/2019,Pop
34,One Kiss (with Dua Lipa),Calvin Harris,1349422,1/1/2019,Pop
35,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,1327813,1/1/2019,Pop
36,Vaina Loca,Ozuna,1323457,1/1/2019,Pop
37,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,1316696,1/1/2019,Pop
38,Leave Me Alone,Flipp Dinero,1288354,1/1/2019,Pop
39,Moonlight,XXXTENTACION,1287251,1/1/2019,Hip Hop
40,Wake Up in the Sky,Gucci Mane,1266708,1/1/2019,Pop
41,Adictiva,Daddy Yankee,1244010,1/1/2019,Hip Hop
42,In My Feelings,Drake,1234391,1/1/2019,Pop
43,Taste (feat. Offset),Tyga,1208890,1/1/2019,Pop
44,Be Alright,Dean Lewis,1192272,1/1/2019,Pop
45,Solo de Mi,Bad Bunny,1174937,1/1/2019,Rap
46,Shape of You,Ed Sheeran,1161132,1/1/2019,Pop
47,Don't Stop Me Now - Remastered 2011,Queen,1155173,1/1/2019,Rock
48,Saturday Nights,Khalid,1144090,1/1/2019,Pop
49,Havana (feat. Young Thug),Camila Cabello,1123301,1/1/2019,Pop
50,Youngblood,5 Seconds of Summer,1122507,1/1/2019,Pop
51,whoa (mind in awe),XXXTENTACION,1113177,1/1/2019,Hip Hop
52,Money,Cardi B,1070677,1/1/2019,Pop
53,Desconocidos,Mau y Ricky,1063063,1/1/2019,Pop
54,BEBE,6ix9ine,1057399,1/1/2019,Rap
55,Nonstop,Drake,1057376,1/1/2019,Pop
56,Look Back at It,A Boogie Wit da Hoodie,1039862,1/1/2019,Pop
57,monster,21 Savage,1039050,1/1/2019,Hip Hop
58,Cuando Te BesÃ©,Becky G,1029266,1/1/2019,Pop
59,Te BotÃ© - Remix,Nio Garcia,1027193,1/1/2019,Rap
60,Solo (feat. Demi Lovato),Clean Bandit,1021738,1/1/2019,Pop
61,a lot,21 Savage,1020796,1/1/2019,Hip Hop
62,New Rules,Dua Lipa,1007381,1/1/2019,Pop
63,Psycho (feat. Ty Dolla $ign),Post Malone,1005916,1/1/2019,Rap
64,Reggaeton,J Balvin,1001566,1/1/2019,Rap
65,Body (feat. brando),Loud Luxury,997092,1/1/2019,Pop
66,Bad Liar,Imagine Dragons,996870,1/1/2019,Pop
67,Kiss and Make Up,Dua Lipa,962317,1/1/2019,Pop
68,Ruin My Life,Zara Larsson,961238,1/1/2019,Pop
69,KIKA,6ix9ine,960024,1/1/2019,Rap
70,The Middle,Zedd,959284,1/1/2019,Pop
71,lovely,Billie Eilish,956792,1/1/2019,Pop
72,Imposible,Luis Fonsi,950131,1/1/2019,Pop
73,Ya No Tiene Novio,Sebastian Yatra,938819,1/1/2019,Pop
74,BAD!,XXXTENTACION,938755,1/1/2019,Hip Hop
75,Jocelyn Flores,XXXTENTACION,935313,1/1/2019,Hip Hop
76,no tears left to cry,Ariana Grande,931611,1/1/2019,Pop
77,Another One Bites The Dust - Remastered 2011,Queen,925388,1/1/2019,Rock
78,Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,913006,1/1/2019,Pop
79,Atrasadinha - Ao Vivo,Felipe AraÃºjo,888376,1/1/2019,Pop
80,Natural,Imagine Dragons,883348,1/1/2019,Pop
81,Bubalu,Becky G,882001,1/1/2019,Pop
82,Beautiful (feat. Camila Cabello),Bazzi,876235,1/1/2019,Pop
83,Billie Jean,Michael Jackson,870194,1/1/2019,Pop
84,FEFE,6ix9ine,866076,1/1/2019,Rap
85,Love Someone,Lukas Graham,850476,1/1/2019,Pop
86,2002,Anne-Marie,842383,1/1/2019,Pop
87,Nice For What,Drake,834237,1/1/2019,Pop
88,Amanece,Anuel AA,834131,1/1/2019,Rap
89,IDGAF,Dua Lipa,833577,1/1/2019,Pop
90,FRIENDS,Marshmello,831606,1/1/2019,Pop
91,I Love It (& Lil Pump),Kanye West,827696,1/1/2019,Rap
92,Believer,Imagine Dragons,815715,1/1/2019,Pop
93,Closer,The Chainsmokers,805260,1/1/2019,Pop
94,Armed And Dangerous,Juice WRLD,797725,1/1/2019,Rap
95,Under Pressure - Remastered 2011,Queen,788637,1/1/2019,Rock
96,Shotgun,George Ezra,783577,1/1/2019,Pop
97,What Lovers Do,Maroon 5,777870,1/1/2019,Pop
98,Perfect,Ed Sheeran,777485,1/1/2019,Pop
99,MALA,6ix9ine,770902,1/1/2019,Rap
100,Let You Love Me,Rita Ora,766065,1/1/2019,Pop
101,No Stylist (feat. Drake),French Montana,764290,1/1/2019,Pop
102,idontwannabeyouanymore,Billie Eilish,762162,1/1/2019,Pop
103,Amigos Con Derechos,Reik,761739,1/1/2019,Pop
104,Rise,Jonas Blue,761007,1/1/2019,Pop
105,Happy Now,Kygo,758427,1/1/2019,Pop
106,Falling Down - Bonus Track,Lil Peep,750603,1/1/2019,Hip Hop
107,All The Stars (with SZA),Kendrick Lamar,750528,1/1/2019,Hip Hop
108,I Fall Apart,Post Malone,747531,1/1/2019,Rap
109,Parado no BailÃ£o,MC L da Vinte,746223,1/1/2019,Other
110,Sin Pijama,Becky G,728985,1/1/2019,Pop
111,changes,XXXTENTACION,725327,1/1/2019,Hip Hop
112,YOSEMITE,Travis Scott,721428,1/1/2019,Rap
113,Thunder,Imagine Dragons,721417,1/1/2019,Pop
114,God is a woman,Ariana Grande,721002,1/1/2019,Pop
115,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,716864,1/1/2019,Pop
116,breathin,Ariana Grande,707939,1/1/2019,Pop
117,SOLO,JENNIE,698537,1/1/2019,Pop
118,Africa,TOTO,693996,1/1/2019,Rock
119,Mala MÃ­a,Maluma,693801,1/1/2019,Other
120,Look Alive (feat. Drake),BlocBoy JB,690729,1/1/2019,Hip Hop
121,Young Dumb & Broke,Khalid,689243,1/1/2019,Pop
122,Electricity (with Dua Lipa),Silk City,686953,1/1/2019,Pop
123,Somebody To Love - Remastered 2011,Queen,685968,1/1/2019,Rock
124,NotificaÃ§Ã£o Preferida - Ao Vivo,ZÃ© Neto & Cristiano,684337,1/1/2019,Other
125,Feel It Still,Portugal. The Man,682086,1/1/2019,Rock
126,No Es Justo,J Balvin,680667,1/1/2019,Rap
127,Jackie Chan,TiÃ«sto,676759,1/1/2019,Pop
128,I Like Me Better,Lauv,675938,1/1/2019,Pop
129,Culpables,KAROL G,673874,1/1/2019,Rap
130,Fuck Love (feat. Trippie Redd),XXXTENTACION,669709,1/1/2019,Hip Hop
131,Ciumeira - Ao Vivo,MarÃ­lia MendonÃ§a,668142,1/1/2019,Pop
132,Back To You - From 13 Reasons Why â€“ Season 2 Soundtrack,Selena Gomez,667871,1/1/2019,Pop
133,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,667167,1/1/2019,Pop
134,Quem Me Dera,MÃ¡rcia Fellipe,654413,1/1/2019,Pop
135,NI BIEN NI MAL,Bad Bunny,652869,1/1/2019,Rap
136,SÃ³ Pra Castigar,Wesley SafadÃ£o,652336,1/1/2019,Other
137,Yes Indeed,Lil Baby,651155,1/1/2019,Hip Hop
138,Say My Name,David Guetta,649029,1/1/2019,Pop
139,This Feeling,The Chainsmokers,648993,1/1/2019,Pop
140,all my friends,21 Savage,648632,1/1/2019,Hip Hop
141,I'm a Mess,Bebe Rexha,648088,1/1/2019,Pop
142,Familia (with Anuel Aa;;feat. Bantu) - Spider-Man: Into the Spider-Verse,Nicki Minaj,641102,1/1/2019,Pop
143,Congratulations,Post Malone,640941,1/1/2019,Rap
144,No Brainer,DJ Khaled,638118,1/1/2019,Pop
145,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,635854,1/1/2019,Pop
146,Woman Like Me (feat. Nicki Minaj),Little Mix,634293,1/1/2019,Pop
147,Roses (with Juice WRLD feat. Brendon Urie),benny blanco,629340,1/1/2019,Pop
148,XO Tour Llif3,Lil Uzi Vert,627258,1/1/2019,Rap
149,Agora Ã© Tudo Meu,DENNIS,626205,1/1/2019,EDM
150,Nuketown (feat. Juice WRLD),Ski Mask The Slump God,624360,1/1/2019,Hip Hop
151,X,Nicky Jam,623835,1/1/2019,Hip Hop
152,One Dance,Drake,614205,1/1/2019,Pop
153,TIC TOC,6ix9ine,614114,1/1/2019,Rap
154,These Days (feat. Jess Glynne;;Macklemore & Dan Caplen),Rudimental,613635,1/1/2019,Pop
155,Say You Won't Let Go,James Arthur,608635,1/1/2019,Pop
156,Love Lies (with Normani),Khalid,608173,1/1/2019,Pop
157,No Me Acuerdo,Thalia,606923,1/1/2019,Pop
158,Asesina - Remix,Brytiago,605680,1/1/2019,Hip Hop
159,Never Recover (Lil Baby & Gunna;;Drake),Lil Baby,602622,1/1/2019,Hip Hop
160,Lucky You (feat. Joyner Lucas),Eminem,597845,1/1/2019,Hip Hop
161,Best Part (feat. Daniel Caesar),H.E.R.,595665,1/1/2019,Pop
162,Fine China,Future,594828,1/1/2019,Pop
163,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,592632,1/1/2019,Hip Hop
164,Despacito - Remix,Luis Fonsi,592324,1/1/2019,Pop
165,PPP,Kevin Roldan,592059,1/1/2019,Hip Hop
166,Too Good At Goodbyes,Sam Smith,591298,1/1/2019,Pop
167,We Will Rock You - Remastered 2011,Queen,583157,1/1/2019,Rock
168,September,Earth;;Wind & Fire,580288,1/1/2019,Other
169,Thunderclouds,Sia,580167,1/1/2019,Pop
